Date (LT),Hour,NowCast Conc.,Raw Conc.,Conc. Unit,AQI,AQI Category,QC Name
01/01/2019 01:00,1,173.1,161,ug/m3,223,Very Unhealthy,Valid
01/01/2019 02:00,2,160.6,148,ug/m3,211,Very Unhealthy,Valid
01/01/2019 03:00,3,169.8,179,ug/m3,220,Very Unhealthy,Valid
01/01/2019 04:00,4,174.9,180,ug/m3,225,Very Unhealthy,Valid
01/01/2019 05:00,5,172,169,ug/m3,222,Very Unhealthy,Valid
01/01/2019 06:00,6,172.5,173,ug/m3,223,Very Unhealthy,Valid
01/01/2019 07:00,7,183.5,204,ug/m3,234,Very Unhealthy,Valid
01/01/2019 08:00,8,194.6,216,ug/m3,245,Very Unhealthy,Valid
01/01/2019 09:00,9,189.3,181,ug/m3,239,Very Unhealthy,Valid
01/01/2019 10:00,10,157.2,117,ug/m3,208,Very Unhealthy,Valid
01/01/2019 11:00,11,120.1,86,ug/m3,184,Unhealthy,Valid
01/01/2019 12:00,12,88,56,ug/m3,168,Unhealthy,Valid
01/01/2019 13:00,13,62,36,ug/m3,154,Unhealthy,Valid
01/01/2019 14:00,14,47.9,34,ug/m3,132,Unhealthy for Sensitive Groups,Valid
01/01/2019 15:00,15,40.9,34,ug/m3,114,Unhealthy for Sensitive Groups,Valid
01/01/2019 16:00,16,36.9,33,ug/m3,104,Unhealthy for Sensitive Groups,Valid
01/01/2019 17:00,17,51.4,66,ug/m3,140,Unhealthy for Sensitive Groups,Valid
01/01/2019 18:00,18,78.7,106,ug/m3,163,Unhealthy,Valid
01/01/2019 19:00,19,103.8,129,ug/m3,176,Unhealthy,Valid
01/01/2019 20:00,20,140.4,177,ug/m3,195,Unhealthy,Valid
01/01/2019 21:00,21,148.7,157,ug/m3,199,Unhealthy,Valid
01/01/2019 22:00,22,163.3,178,ug/m3,214,Very Unhealthy,Valid
01/01/2019 23:00,23,175.1,187,ug/m3,225,Very Unhealthy,Valid
02/01/2019 00:00,0,180.1,185,ug/m3,230,Very Unhealthy,Valid
02/01/2019 01:00,1,174.5,169,ug/m3,225,Very Unhealthy,Valid
02/01/2019 02:00,2,165.3,156,ug/m3,216,Very Unhealthy,Valid
02/01/2019 03:00,3,156.6,148,ug/m3,207,Very Unhealthy,Valid
02/01/2019 04:00,4,166.8,177,ug/m3,217,Very Unhealthy,Valid
02/01/2019 05:00,5,169.7,174,ug/m3,220,Very Unhealthy,Valid
02/01/2019 06:00,6,173,182,ug/m3,223,Very Unhealthy,Valid
02/01/2019 07:00,7,178.1,195,ug/m3,228,Very Unhealthy,Valid
02/01/2019 08:00,8,197.2,227,ug/m3,247,Very Unhealthy,Valid
02/01/2019 09:00,9,205.3,220,ug/m3,255,Very Unhealthy,Valid
02/01/2019 10:00,10,184.4,146,ug/m3,235,Very Unhealthy,Valid
02/01/2019 11:00,11,123.2,67,ug/m3,186,Unhealthy,Valid
02/01/2019 12:00,12,87.6,52,ug/m3,168,Unhealthy,Valid
02/01/2019 13:00,13,66.2,45,ug/m3,157,Unhealthy,Valid
02/01/2019 14:00,14,61.1,56,ug/m3,154,Unhealthy,Valid
02/01/2019 15:00,15,69,77,ug/m3,158,Unhealthy,Valid
02/01/2019 16:00,16,99,129,ug/m3,173,Unhealthy,Valid
02/01/2019 17:00,17,96,93,ug/m3,172,Unhealthy,Valid
02/01/2019 18:00,18,126.4,157,ug/m3,188,Unhealthy,Valid
02/01/2019 19:00,19,164.2,202,ug/m3,215,Very Unhealthy,Valid
02/01/2019 20:00,20,160.1,156,ug/m3,211,Very Unhealthy,Valid
02/01/2019 21:00,21,176,192,ug/m3,226,Very Unhealthy,Valid
02/01/2019 22:00,22,180.5,185,ug/m3,231,Very Unhealthy,Valid
02/01/2019 23:00,23,201.7,223,ug/m3,252,Very Unhealthy,Valid
03/01/2019 00:00,0,213.9,226,ug/m3,264,Very Unhealthy,Valid
03/01/2019 01:00,1,205.9,198,ug/m3,256,Very Unhealthy,Valid
03/01/2019 02:00,2,195.5,185,ug/m3,246,Very Unhealthy,Valid
03/01/2019 03:00,3,185.2,175,ug/m3,235,Very Unhealthy,Valid
03/01/2019 04:00,4,193.6,202,ug/m3,244,Very Unhealthy,Valid
03/01/2019 05:00,5,192.7,190,ug/m3,243,Very Unhealthy,Valid
03/01/2019 06:00,6,191,187,ug/m3,241,Very Unhealthy,Valid
03/01/2019 07:00,7,195.7,206,ug/m3,246,Very Unhealthy,Valid
03/01/2019 08:00,8,202.2,223,ug/m3,252,Very Unhealthy,Valid
03/01/2019 09:00,9,205.3,215,ug/m3,255,Very Unhealthy,Valid
03/01/2019 10:00,10,201.2,187,ug/m3,251,Very Unhealthy,Valid
03/01/2019 11:00,11,152.9,106,ug/m3,203,Very Unhealthy,Valid
03/01/2019 12:00,12,122.4,92,ug/m3,186,Unhealthy,Valid
03/01/2019 13:00,13,97.7,73,ug/m3,173,Unhealthy,Valid
03/01/2019 14:00,14,84.8,72,ug/m3,166,Unhealthy,Valid
03/01/2019 15:00,15,77.9,71,ug/m3,163,Unhealthy,Valid
03/01/2019 16:00,16,73.4,69,ug/m3,160,Unhealthy,Valid
03/01/2019 17:00,17,74.7,76,ug/m3,161,Unhealthy,Valid
03/01/2019 18:00,18,90.3,106,ug/m3,169,Unhealthy,Valid
03/01/2019 19:00,19,113.1,136,ug/m3,181,Unhealthy,Valid
03/01/2019 20:00,20,133,153,ug/m3,191,Unhealthy,Valid
03/01/2019 21:00,21,162,191,ug/m3,212,Very Unhealthy,Valid
03/01/2019 22:00,22,189.5,217,ug/m3,240,Very Unhealthy,Valid
03/01/2019 23:00,23,193.2,197,ug/m3,243,Very Unhealthy,Valid
04/01/2019 00:00,0,206.6,220,ug/m3,257,Very Unhealthy,Valid
04/01/2019 01:00,1,205.8,205,ug/m3,256,Very Unhealthy,Valid
04/01/2019 02:00,2,223.4,241,ug/m3,273,Very Unhealthy,Valid
04/01/2019 03:00,3,227.7,232,ug/m3,278,Very Unhealthy,Valid
04/01/2019 04:00,4,233.3,239,ug/m3,283,Very Unhealthy,Valid
