Feature,Mean_Abs_SHAP,Rank
AQI_lag24,0.07158139446765595,1
Raw_Conc_lag24,0.05146231418498524,2
dewpoint_2m,0.04923863234840944,3
cloudcover_high,0.030157407464316614,4
Month,0.028484543854016473,5
surface_pressure,0.027152879590445173,6
windspeed_10m,0.022639036666875053,7
apparent_temperature,0.017435496459449595,8
windgusts_10m,0.014199422519186378,9
weathercode,0.01359002320131953,10
cloudcover,0.012617197730980958,11
Hour,0.008578167048076674,12
temperature_2m,0.006747641706203201,13
cloudcover_mid,0.006390076537199061,14
cloudcover_low,0.006101673657401482,15
relativehumidity_2m,0.005918118527533353,16
winddirection_10m,0.005526952572502641,17
DayOfWeek,0.0043874477349956425,18
vapor_pressure_deficit,0.004124268474578848,19
direct_radiation,0.003789418463121716,20
diffuse_radiation,0.003399928000416583,21
shortwave_radiation,0.0030053853962193587,22
et0_fao_evapotranspiration,0.002986827097879934,23
rain,0.0017797344704544866,24
precipitation,0.00156987254207638,25
