Feature,Mean_Abs_SHAP,Rank
AQI_lag24,0.07831557473988109,1
Raw_Conc_lag24,0.057470609683019196,2
dewpoint_2m,0.05745440943618832,3
surface_pressure,0.028083936215903774,4
Month,0.026819684276084634,5
cloudcover_high,0.024816900355746494,6
apparent_temperature,0.020664554885248588,7
windspeed_10m,0.016586010106641246,8
Hour,0.0145085186428559,9
cloudcover,0.013622692455703056,10
weathercode,0.01215753998332851,11
cloudcover_mid,0.011774155464923955,12
windgusts_10m,0.011161159329594772,13
winddirection_10m,0.01097907652338423,14
cloudcover_low,0.010858514481992113,15
shortwave_radiation,0.010680151119569414,16
temperature_2m,0.010246457406486657,17
diffuse_radiation,0.010060861443849111,18
direct_radiation,0.00839089254991998,19
relativehumidity_2m,0.005850455424117909,20
DayOfWeek,0.005079083588080142,21
vapor_pressure_deficit,0.00491626059953305,22
et0_fao_evapotranspiration,0.003525357743044884,23
rain,0.0007764840029342916,24
precipitation,0.0007292869547288258,25
