Feature,Mean_Abs_SHAP,Rank
AQI_lag24,0.0662036122878349,1
dewpoint_2m,0.054824126294981075,2
Month,0.05060995510677024,3
Raw_Conc_lag24,0.04997053923111053,4
cloudcover_high,0.027146675973536094,5
surface_pressure,0.024452032343067674,6
apparent_temperature,0.019186915201423602,7
windspeed_10m,0.0168081371071134,8
cloudcover,0.01387187355350393,9
weathercode,0.013551381922191309,10
cloudcover_mid,0.011692048805682075,11
Hour,0.010595079822128138,12
cloudcover_low,0.010296069930770507,13
windgusts_10m,0.010145793870658443,14
temperature_2m,0.008820709010775194,15
diffuse_radiation,0.008413912023511853,16
winddirection_10m,0.006508331755875295,17
shortwave_radiation,0.006441956566097824,18
DayOfWeek,0.00640834174986354,19
relativehumidity_2m,0.005973584023783544,20
direct_radiation,0.005733194794107474,21
vapor_pressure_deficit,0.004943897716988262,22
et0_fao_evapotranspiration,0.0036585834035267172,23
rain,0.001044946699780782,24
precipitation,0.001004800840596889,25
