Feature,Mean_Abs_SHAP,Rank
AQI_lag24,0.08269824747968944,1
Raw_Conc_lag24,0.06489362722205837,2
dewpoint_2m,0.06041881990907246,3
Month,0.030713015085437976,4
surface_pressure,0.02568922348590451,5
apparent_temperature,0.02333235913384694,6
cloudcover_high,0.022579883270682683,7
Hour,0.02042891886092977,8
diffuse_radiation,0.013377063202632855,9
shortwave_radiation,0.012757901454988613,10
windspeed_10m,0.012023349957787815,11
cloudcover,0.011591496655703805,12
temperature_2m,0.010844655135891309,13
cloudcover_mid,0.01080428777779111,14
weathercode,0.010148649463109971,15
direct_radiation,0.009181763406222579,16
windgusts_10m,0.009153986583490443,17
cloudcover_low,0.009119094914086898,18
winddirection_10m,0.006264431650701474,19
relativehumidity_2m,0.005663985413339696,20
vapor_pressure_deficit,0.0051162872051610285,21
DayOfWeek,0.005098490664687338,22
et0_fao_evapotranspiration,0.0035994903687652825,23
rain,0.0007504825038222048,24
precipitation,0.0007001690960396419,25
