Feature,winter,summer,monsoon,post_monsoon
AQI_lag24,0.08269824747968944,0.0662036122878349,0.07158139446765595,0.07831557473988109
DayOfWeek,0.005098490664687338,0.00640834174986354,0.0043874477349956425,0.005079083588080142
Hour,0.02042891886092977,0.010595079822128138,0.008578167048076674,0.0145085186428559
Month,0.030713015085437976,0.05060995510677024,0.028484543854016473,0.026819684276084634
Raw_Conc_lag24,0.06489362722205837,0.04997053923111053,0.05146231418498524,0.057470609683019196
apparent_temperature,0.02333235913384694,0.019186915201423602,0.017435496459449595,0.020664554885248588
cloudcover,0.011591496655703805,0.01387187355350393,0.012617197730980958,0.013622692455703056
cloudcover_high,0.022579883270682683,0.027146675973536094,0.030157407464316614,0.024816900355746494
cloudcover_low,0.009119094914086898,0.010296069930770507,0.006101673657401482,0.010858514481992113
cloudcover_mid,0.01080428777779111,0.011692048805682075,0.006390076537199061,0.011774155464923955
dewpoint_2m,0.06041881990907246,0.054824126294981075,0.04923863234840944,0.05745440943618832
diffuse_radiation,0.013377063202632855,0.008413912023511853,0.003399928000416583,0.010060861443849111
direct_radiation,0.009181763406222579,0.005733194794107474,0.003789418463121716,0.00839089254991998
et0_fao_evapotranspiration,0.0035994903687652825,0.0036585834035267172,0.002986827097879934,0.003525357743044884
precipitation,0.0007001690960396419,0.001004800840596889,0.00156987254207638,0.0007292869547288258
rain,0.0007504825038222048,0.001044946699780782,0.0017797344704544866,0.0007764840029342916
relativehumidity_2m,0.005663985413339696,0.005973584023783544,0.005918118527533353,0.005850455424117909
shortwave_radiation,0.012757901454988613,0.006441956566097824,0.0030053853962193587,0.010680151119569414
surface_pressure,0.02568922348590451,0.024452032343067674,0.027152879590445173,0.028083936215903774
temperature_2m,0.010844655135891309,0.008820709010775194,0.006747641706203201,0.010246457406486657
vapor_pressure_deficit,0.0051162872051610285,0.004943897716988262,0.004124268474578848,0.00491626059953305
weathercode,0.010148649463109971,0.013551381922191309,0.01359002320131953,0.01215753998332851
winddirection_10m,0.006264431650701474,0.006508331755875295,0.005526952572502641,0.01097907652338423
windgusts_10m,0.009153986583490443,0.010145793870658443,0.014199422519186378,0.011161159329594772
windspeed_10m,0.012023349957787815,0.0168081371071134,0.022639036666875053,0.016586010106641246
