Feature,Mean_Abs_SHAP,Class,Rank
AQI_lag24,0.0613211785438149,Caution,1
Raw_Conc_lag24,0.04057110357621931,Caution,2
cloudcover_high,0.02754106720965828,Caution,3
windspeed_10m,0.0242630477165681,Caution,4
Month,0.02226453328881209,Caution,5
windgusts_10m,0.014992343495444399,Caution,6
surface_pressure,0.014890479747928873,Caution,7
dewpoint_2m,0.01363388772661975,Caution,8
cloudcover,0.012660680347842632,Caution,9
weathercode,0.010723074823162345,Caution,10
Hour,0.00870763095864559,Caution,11
cloudcover_low,0.008401722482005877,Caution,12
apparent_temperature,0.007926537650387862,Caution,13
winddirection_10m,0.007581145530157097,Caution,14
relativehumidity_2m,0.006943577279624515,Caution,15
DayOfWeek,0.006344440486752035,Caution,16
cloudcover_mid,0.006034796802554997,Caution,17
temperature_2m,0.005349316136169274,Caution,18
vapor_pressure_deficit,0.004965795327074359,Caution,19
et0_fao_evapotranspiration,0.0037852846386817974,Caution,20
diffuse_radiation,0.003712380987688968,Caution,21
direct_radiation,0.0030090519690931,Caution,22
shortwave_radiation,0.0027638827651065095,Caution,23
rain,0.0019798036628721227,Caution,24
precipitation,0.0018211170453630806,Caution,25
dewpoint_2m,0.06911572531061945,Hazardous,1
AQI_lag24,0.06570499680471074,Hazardous,2
Raw_Conc_lag24,0.05136329131824834,Hazardous,3
surface_pressure,0.02808314943197918,Hazardous,4
apparent_temperature,0.023980581291445455,Hazardous,5
Month,0.02049431479579535,Hazardous,6
cloudcover_high,0.01773858453171167,Hazardous,7
windspeed_10m,0.01004448805881603,Hazardous,8
weathercode,0.00974318876708647,Hazardous,9
temperature_2m,0.009459497265080902,Hazardous,10
windgusts_10m,0.006676247623647813,Hazardous,11
cloudcover,0.006386617686796656,Hazardous,12
Hour,0.0052375630294216385,Hazardous,13
cloudcover_mid,0.0038012078629003922,Hazardous,14
relativehumidity_2m,0.003315678560192331,Hazardous,15
direct_radiation,0.0031844224910688767,Hazardous,16
shortwave_radiation,0.0031727314689717068,Hazardous,17
diffuse_radiation,0.0031174638946648726,Hazardous,18
vapor_pressure_deficit,0.002129448081340861,Hazardous,19
rain,0.0015411560748380365,Hazardous,20
et0_fao_evapotranspiration,0.0015285589715264727,Hazardous,21
winddirection_10m,0.001219139649112223,Hazardous,22
precipitation,0.001116875587912211,Hazardous,23
cloudcover_low,0.0010430711401339292,Hazardous,24
DayOfWeek,0.0009192851610950641,Hazardous,25
AQI_lag24,0.08771800805444223,Healthy,1
dewpoint_2m,0.06496628400798912,Healthy,2
Raw_Conc_lag24,0.06245254766048805,Healthy,3
cloudcover_high,0.045192570651579896,Healthy,4
Month,0.04269478347744198,Healthy,5
surface_pressure,0.03848500959142746,Healthy,6
windspeed_10m,0.03360957422524103,Healthy,7
windgusts_10m,0.020929676438466917,Healthy,8
apparent_temperature,0.020399370436515466,Healthy,9
weathercode,0.020303806013709777,Healthy,10
cloudcover,0.01880429515830358,Healthy,11
Hour,0.011789307156162797,Healthy,12
cloudcover_mid,0.009334224946141794,Healthy,13
cloudcover_low,0.00886022735006464,Healthy,14
winddirection_10m,0.007780572538238602,Healthy,15
relativehumidity_2m,0.0074950997427832115,Healthy,16
DayOfWeek,0.005898617557139828,Healthy,17
temperature_2m,0.005434111717359427,Healthy,18
vapor_pressure_deficit,0.0052775620153213245,Healthy,19
direct_radiation,0.005174780929203171,Healthy,20
et0_fao_evapotranspiration,0.003646637683431531,Healthy,21
diffuse_radiation,0.003369939118895908,Healthy,22
shortwave_radiation,0.00307954195457986,Healthy,23
rain,0.0018182436736533007,Healthy,24
precipitation,0.0017716249929538483,Healthy,25
