Feature,Mean_Abs_SHAP,Class,Rank
AQI_lag24,0.08949920343553387,Caution,1
Raw_Conc_lag24,0.059437744911476964,Caution,2
dewpoint_2m,0.04161533177376863,Caution,3
Month,0.03584835747621562,Caution,4
surface_pressure,0.018470021808558234,Caution,5
Hour,0.018314284508109947,Caution,6
apparent_temperature,0.01825697885469403,Caution,7
cloudcover_high,0.018212982797520063,Caution,8
windspeed_10m,0.01781898761234284,Caution,9
cloudcover_low,0.01517962190889282,Caution,10
shortwave_radiation,0.014718953813855405,Caution,11
winddirection_10m,0.014395994762043514,Caution,12
diffuse_radiation,0.013789114411024997,Caution,13
cloudcover_mid,0.01355270510331801,Caution,14
windgusts_10m,0.01349827927691202,Caution,15
cloudcover,0.01349280582795053,Caution,16
temperature_2m,0.01209118005954799,Caution,17
direct_radiation,0.009885387850556957,Caution,18
weathercode,0.009674306136678324,Caution,19
DayOfWeek,0.007074926772928546,Caution,20
relativehumidity_2m,0.006781875517595118,Caution,21
vapor_pressure_deficit,0.006530948317772544,Caution,22
et0_fao_evapotranspiration,0.004750915571240541,Caution,23
precipitation,0.0007610470058426037,Caution,24
rain,0.0007517722639874057,Caution,25
AQI_lag24,0.083827386730057,Hazardous,1
dewpoint_2m,0.07892773158085822,Hazardous,2
Raw_Conc_lag24,0.0678089879964277,Hazardous,3
Month,0.038740318627877336,Hazardous,4
surface_pressure,0.029470712325473637,Hazardous,5
apparent_temperature,0.028389708045335898,Hazardous,6
cloudcover_high,0.021433267630493573,Hazardous,7
Hour,0.020608091652301305,Hazardous,8
shortwave_radiation,0.015220064838880873,Hazardous,9
diffuse_radiation,0.013803783610642684,Hazardous,10
temperature_2m,0.013142832971131937,Hazardous,11
direct_radiation,0.01201321663709878,Hazardous,12
weathercode,0.009057875230612135,Hazardous,13
windspeed_10m,0.008231553433433217,Hazardous,14
cloudcover,0.007585369378590494,Hazardous,15
winddirection_10m,0.00737485893677083,Hazardous,16
relativehumidity_2m,0.005804352992070868,Hazardous,17
cloudcover_mid,0.0048125053172376675,Hazardous,18
vapor_pressure_deficit,0.004797570286434043,Hazardous,19
windgusts_10m,0.004467649374358103,Hazardous,20
DayOfWeek,0.004327049362770892,Hazardous,21
et0_fao_evapotranspiration,0.0040674224894763945,Hazardous,22
cloudcover_low,0.003581277131709209,Hazardous,23
rain,0.0007456022146400875,Hazardous,24
precipitation,0.0005592080983140035,Hazardous,25
AQI_lag24,0.06162013405405238,Healthy,1
dewpoint_2m,0.05182016495393809,Healthy,2
Raw_Conc_lag24,0.04516509614115291,Healthy,3
surface_pressure,0.03631107451367945,Healthy,4
cloudcover_high,0.034804450639225853,Healthy,5
windspeed_10m,0.023707489274147682,Healthy,6
cloudcover,0.019789902160568144,Healthy,7
weathercode,0.01774043858269507,Healthy,8
cloudcover_mid,0.016957255974216188,Healthy,9
windgusts_10m,0.015517549337514197,Healthy,10
apparent_temperature,0.015346977755715835,Healthy,11
cloudcover_low,0.01381464440537431,Healthy,12
winddirection_10m,0.011166375871338351,Healthy,13
Month,0.0058703767241609405,Healthy,14
temperature_2m,0.005505359188780045,Healthy,15
relativehumidity_2m,0.004965137762687743,Healthy,16
Hour,0.00460317976815645,Healthy,17
DayOfWeek,0.0038352746285409862,Healthy,18
vapor_pressure_deficit,0.0034202631943925643,Healthy,19
direct_radiation,0.003274073162104203,Healthy,20
diffuse_radiation,0.0025896863098796535,Healthy,21
shortwave_radiation,0.0021014347059719624,Healthy,22
et0_fao_evapotranspiration,0.0017577351684177165,Healthy,23
precipitation,0.0008676057600298704,Healthy,24
rain,0.0008320775301753815,Healthy,25
