Feature,Mean_Abs_SHAP,Class,Rank
Month,0.07443293693483266,Caution,1
AQI_lag24,0.07347973392701182,Caution,2
Raw_Conc_lag24,0.054131378985401095,Caution,3
dewpoint_2m,0.03677668158373283,Caution,4
cloudcover_high,0.025985963681922214,Caution,5
surface_pressure,0.01721781195607883,Caution,6
apparent_temperature,0.015581154484625798,Caution,7
cloudcover_mid,0.01517040992426753,Caution,8
windspeed_10m,0.01471057401440656,Caution,9
cloudcover,0.013682679886594249,Caution,10
cloudcover_low,0.013378435184682775,Caution,11
Hour,0.012923063123440322,Caution,12
weathercode,0.012632498137505808,Caution,13
diffuse_radiation,0.011617200955153768,Caution,14
temperature_2m,0.010361094978888468,Caution,15
windgusts_10m,0.00929745465281888,Caution,16
DayOfWeek,0.009257017849188033,Caution,17
shortwave_radiation,0.00852888728193798,Caution,18
winddirection_10m,0.0076333601804933,Caution,19
relativehumidity_2m,0.006790531222795153,Caution,20
vapor_pressure_deficit,0.006386371994365539,Caution,21
direct_radiation,0.006367893374700326,Caution,22
et0_fao_evapotranspiration,0.005012036663646786,Caution,23
precipitation,0.0012167976651056348,Caution,24
rain,0.0011977712163352017,Caution,25
dewpoint_2m,0.08083472458204545,Hazardous,1
AQI_lag24,0.07136909555567396,Hazardous,2
Raw_Conc_lag24,0.057205448616828414,Hazardous,3
surface_pressure,0.03241613507258688,Hazardous,4
apparent_temperature,0.02783227278841547,Hazardous,5
Month,0.017915420520393095,Hazardous,6
cloudcover_high,0.01538788084874037,Hazardous,7
windspeed_10m,0.012798579018271864,Hazardous,8
Hour,0.01270134732956945,Hazardous,9
temperature_2m,0.011723592959311377,Hazardous,10
windgusts_10m,0.008249129499295921,Hazardous,11
diffuse_radiation,0.008109056062033234,Hazardous,12
shortwave_radiation,0.008070181627877482,Hazardous,13
weathercode,0.007967020174532316,Hazardous,14
cloudcover,0.007713755104078563,Hazardous,15
direct_radiation,0.007336775392894628,Hazardous,16
relativehumidity_2m,0.005696801082972462,Hazardous,17
vapor_pressure_deficit,0.0039680093154944,Hazardous,18
winddirection_10m,0.0036093351441888297,Hazardous,19
cloudcover_mid,0.0034573073720531467,Hazardous,20
et0_fao_evapotranspiration,0.0033340706565497657,Hazardous,21
cloudcover_low,0.0030417560401786417,Hazardous,22
DayOfWeek,0.0028479972528966738,Hazardous,23
rain,0.0007463222642740834,Hazardous,24
precipitation,0.0005903556417544882,Hazardous,25
Month,0.059481507865084944,Healthy,1
AQI_lag24,0.053762007380818946,Healthy,2
dewpoint_2m,0.04686097271916496,Healthy,3
cloudcover_high,0.0400661833899457,Healthy,4
Raw_Conc_lag24,0.03857479009110208,Healthy,5
surface_pressure,0.023722150000537314,Healthy,6
windspeed_10m,0.022915258288661776,Healthy,7
cloudcover,0.020219185669838977,Healthy,8
weathercode,0.020054627454535803,Healthy,9
cloudcover_mid,0.01644842912072555,Healthy,10
cloudcover_low,0.014468018567450107,Healthy,11
apparent_temperature,0.014147318331229534,Healthy,12
windgusts_10m,0.012890797459860527,Healthy,13
winddirection_10m,0.008282299942943754,Healthy,14
DayOfWeek,0.007120010147505913,Healthy,15
Hour,0.0061608290133746465,Healthy,16
diffuse_radiation,0.005515479053348554,Healthy,17
relativehumidity_2m,0.005433419765583017,Healthy,18
vapor_pressure_deficit,0.004477311841104846,Healthy,19
temperature_2m,0.004377439094125735,Healthy,20
direct_radiation,0.0034949156147274668,Healthy,21
shortwave_radiation,0.0027268007884780126,Healthy,22
et0_fao_evapotranspiration,0.0026296428903836004,Healthy,23
precipitation,0.0012072492149305444,Healthy,24
rain,0.001190746618733061,Healthy,25
