Feature,Mean_Abs_SHAP,Class,Rank
AQI_lag24,0.07883067193318642,Caution,1
Raw_Conc_lag24,0.0586702791272919,Caution,2
dewpoint_2m,0.04006093945793252,Caution,3
Hour,0.02855696825647071,Caution,4
Month,0.02065248405600805,Caution,5
apparent_temperature,0.02024579055995275,Caution,6
diffuse_radiation,0.01929679711959063,Caution,7
shortwave_radiation,0.018285956852867016,Caution,8
surface_pressure,0.015159530124542714,Caution,9
cloudcover_low,0.013009314342401213,Caution,10
cloudcover_high,0.012575842446530035,Caution,11
direct_radiation,0.011928416824270293,Caution,12
temperature_2m,0.011035388940462873,Caution,13
windgusts_10m,0.010376197834424285,Caution,14
cloudcover_mid,0.010181056447894663,Caution,15
windspeed_10m,0.009851838347852413,Caution,16
cloudcover,0.009739491040901166,Caution,17
relativehumidity_2m,0.00760468913351595,Caution,18
winddirection_10m,0.0074917124810076376,Caution,19
vapor_pressure_deficit,0.007066269764563416,Caution,20
DayOfWeek,0.006982261703343195,Caution,21
weathercode,0.005285124293618696,Caution,22
et0_fao_evapotranspiration,0.00497270407385844,Caution,23
rain,0.000554228011420358,Caution,24
precipitation,0.0004837336677403255,Caution,25
AQI_lag24,0.1111412305359735,Hazardous,1
Raw_Conc_lag24,0.09135381482781225,Hazardous,2
dewpoint_2m,0.08638709419707205,Hazardous,3
apparent_temperature,0.03403866091539342,Hazardous,4
Month,0.03277391529674462,Hazardous,5
surface_pressure,0.031141321015693516,Hazardous,6
Hour,0.030315002008464403,Hazardous,7
cloudcover_high,0.02669022721981634,Hazardous,8
diffuse_radiation,0.019469229944090727,Hazardous,9
shortwave_radiation,0.01888445760058896,Hazardous,10
temperature_2m,0.014652855942607073,Hazardous,11
windspeed_10m,0.013953630244127156,Hazardous,12
direct_radiation,0.013662410193181682,Hazardous,13
weathercode,0.011180408634100237,Hazardous,14
cloudcover,0.009335544809500163,Hazardous,15
cloudcover_mid,0.00928655324919538,Hazardous,16
windgusts_10m,0.009066741370253206,Hazardous,17
vapor_pressure_deficit,0.006572216894842494,Hazardous,18
relativehumidity_2m,0.006419091987910751,Hazardous,19
DayOfWeek,0.006108685527126593,Hazardous,20
winddirection_10m,0.00534700058460274,Hazardous,21
et0_fao_evapotranspiration,0.005039166232101214,Hazardous,22
cloudcover_low,0.004045676166285109,Hazardous,23
rain,0.0009536102524392992,Hazardous,24
precipitation,0.0008089455190402874,Hazardous,25
AQI_lag24,0.058122839969908434,Healthy,1
dewpoint_2m,0.054808426072212826,Healthy,2
Raw_Conc_lag24,0.04465678771107097,Healthy,3
Month,0.03871264590356126,Healthy,4
surface_pressure,0.030766819317477313,Healthy,5
cloudcover_high,0.028473580145701675,Healthy,6
apparent_temperature,0.015712625926194643,Healthy,7
cloudcover,0.015699454116710088,Healthy,8
weathercode,0.013980415461610982,Healthy,9
cloudcover_mid,0.012945253636283282,Healthy,10
windspeed_10m,0.012264581281383873,Healthy,11
cloudcover_low,0.010302294233574373,Healthy,12
windgusts_10m,0.008019020545793837,Healthy,13
temperature_2m,0.006845720524603983,Healthy,14
winddirection_10m,0.005954581886494045,Healthy,15
relativehumidity_2m,0.0029681751185923855,Healthy,16
Hour,0.002414786317854191,Healthy,17
DayOfWeek,0.0022045247635922244,Healthy,18
direct_radiation,0.0019544632012157615,Healthy,19
vapor_pressure_deficit,0.0017103749560771764,Healthy,20
diffuse_radiation,0.0013651625442172083,Healthy,21
shortwave_radiation,0.0011032899115098658,Healthy,22
precipitation,0.0008078281013383128,Healthy,23
et0_fao_evapotranspiration,0.000786600800336194,Healthy,24
rain,0.0007436092476069573,Healthy,25
